item	filename	 rating 	category	list	language	study
Semai_13_motio_B	Semai_13_Motion_org	 4.27 	Motion	B	Semai	Language
Semai_14_motion_A	Semai_14_Motion_org	 2.23 	Motion	A	Semai	Language
Semai_15_texture_A	Semai_15_Texture_org	 1.81 	Texture	A	Semai	Language
Semai_16_texture_B	Semai_16_Texture_org	 1.76 	Texture	B	Semai	Language
Semai_17_texture_A	Semai_17_Texture_org	 2.37 	Texture	A	Semai	Language
Semai_18_texture_C	Semai_18_Texture_org	 2.15 	Texture	C	Semai	Language
Semai_19_texture_D	Semai_19_Texture_org	 2.27 	Texture	D	Semai	Language
Semai_2_color_A	Semai_2_ColorVisual_org	 1.61 	ColorVisual	A	Semai	Language
Semai_20_texture_C	Semai_20_Texture_org	 4.49 	Texture	C	Semai	Language
Semai_21_texture_D	Semai_21_Texture_org	 2.23 	Texture	D	Semai	Language
Semai_22_sound_D	Semai_22_Sound_org	 4.06 	Sound	D	Semai	Language
Semai_23_sound_C	Semai_23_Sound_org	 4.72 	Sound	C	Semai	Language
Semai_24_sound_B	Semai_24_Sound_org	 2.25 	Sound	B	Semai	Language
Semai_25_sound_A	Semai_25_Sound_org	 4.02 	Sound	A	Semai	Language
Semai_26_sound_A	Semai_26_Sound_org	 3.08 	Sound	A	Semai	Language
Semai_27_sound_D	Semai_27_Sound_org	 4.38 	Sound	D	Semai	Language
Semai_28_sound_C	Semai_28_Sound_org	 1.53 	Sound	C	Semai	Language
Semai_29_sound_B	Semai_29_Sound_org	 1.33 	Sound	B	Semai	Language
Semai_3_color_B	Semai_3_ColorVisual_org	 2.12 	ColorVisual	B	Semai	Language
Semai_30_sound_D	Semai_30_Sound_org	 4.21 	Sound	D	Semai	Language
Semai_31_shape_A	Semai_31_Shape_org	 1.66 	Shape	A	Semai	Language
Semai_32_shape_B	Semai_32_Shape_org	 2.33 	Shape	B	Semai	Language
Semai_33_shape_C	Semai_33_Shape_org	 1.78 	Shape	C	Semai	Language
Semai_34_shape_D	Semai_34_Shape_org	 2.41 	Shape	D	Semai	Language
Semai_35_shape_D	Semai_35_Shape_org	 2.21 	Shape	D	Semai	Language
Semai_36_shape_C	Semai_36_Shape_org	 2.31 	Shape	C	Semai	Language
Semai_37_shape_B	Semai_37_Shape_org	 1.98 	Shape	B	Semai	Language
Semai_38_shape_A	Semai_38_Shape_org	 2.14 	Shape	A	Semai	Language
Semai_4_color_D	Semai_4_ColorVisual_org	 1.79 	ColorVisual	D	Semai	Language
Semai_5_color_B	Semai_5_ColorVisual_org	 2.27 	ColorVisual	B	Semai	Language
Semai_6_color_C	Semai_6_ColorVisual_org	 1.57 	ColorVisual	C	Semai	Language
Semai_7_motion_D	Semai_7_Motion_org	 2.33 	Motion	D	Semai	Language
Semai_8_motion_C	Semai_8_Motion_org	 2.08 	Motion	C	Semai	Language
Semai_9_motion_D	Semai_9_Motion_org	 2.45 	Motion	D	Semai	Language
Siwu_1_sound_A	Siwu_1_Sound_org	 3.51 	Sound	A	Siwu	Language
Siwu_11_texture_A	Siwu_11_Texture_org	 2.47 	Texture	A	Siwu	Language
Siwu_12_motion_B	Siwu_12_Motion_org	 3.35 	Motion	B	Siwu	Language
Siwu_13_motion_A	Siwu_13_Motion_org	 2.42 	Motion	A	Siwu	Language
Siwu_14_motion_C	Siwu_14_Motion_org	 3.81 	Motion	C	Siwu	Language
Siwu_15_texture_D	Siwu_15_Motion_org	 3.30 	Texture	D	Siwu	Language
Siwu_16_motion_D	Siwu_16_Motion_org	 3.43 	Motion	D	Siwu	Language
Siwu_17_motion_D	Siwu_17_Motion_org	 4.04 	Motion	D	Siwu	Language
Siwu_18_shape_B	Siwu_18_Shape_org	 1.69 	Shape	B	Siwu	Language
Siwu_19_shape_D	Siwu_19_Shape_org	 1.69 	Shape	D	Siwu	Language
Siwu_2_sound_B	Siwu_2_Sound_org	 4.65 	Sound	B	Siwu	Language
