ideophone	score	language	category	paper
tɨɨktɨɨktɨɨktɨɨk	0.5	Semai	Sound	Language
korrrr	0.5	Semai	Sound	Language
rŋʔɒɒŋ	0.5	Semai	Shape	Language
pocha-to	0.5	Japanese	Shape	Language
toɖoo	0.5	Ewe	Shape	Language
pŏlbŏl	0.5	Korean	ColorVisual	Language
fiɛfiɛ 	0.5	Siwu	Texture	Language
nurunuru	0.5	Japanese	Texture	Language
tsuru tsuru	0.5	Japanese	Texture	Language
nààà 	0.5	Siwu	Motion	Language
tsinitsini	0.5	Ewe	Texture	Language
kpo 	0.5	Ewe	Sound	Language
p'ongdangp'ongdang	0.5	Korean	Sound	Language
nebaneba	0.5	Japanese	Texture	Language
sĩĩĩ	0.5	Siwu	Shape	Language
gowagowa	0.482758621	Japanese	Texture	Collabra
hwarhwal	0.45	Korean	ColorVisual	Language
t'aengt'aeng	0.45	Korean	Shape	Language
songsong	0.45	Korean	Motion	Language
boo boo	0.45	Japanese	Sound	Language
dzekedzeke	0.45	Ewe	Texture	Language
hɛ̃ɛ̃ɛ̃	0.45	Ewe	ColorVisual	Language
kpraɖii	0.45	Ewe	Texture	Language
cããwcããw	0.45	Semai	Sound	Language
mikkŭlmikkŭl	0.45	Korean	Texture	Language
guu	0.45	Japanese	Shape	Language
mongshilmongshil	0.45	Korean	Shape	Language
ch'orongch'orong	0.45	Korean	ColorVisual	Language
ɟtoonɟtoonɟtoon	0.45	Semai	Motion	Language
pɔlɔpɔlɔ	0.45	Siwu	Texture	Language
munyɛ̃munyɛ̃	0.45	Siwu	ColorVisual	Language
ch'ingch'ing	0.45	Korean	Motion	Language
kodzokodzo	0.45	Ewe	Motion	Language
kplakplakpla	0.45	Ewe	Motion	Language
nyɛmɛrɛ-nyɛmɛrɛ 	0.45	Siwu	Motion	Language
morimori	0.448275862	Japanese	Shape	Collabra
hiyahiya	0.413793103	Japanese		Collabra
perapera	0.4	Japanese	Shape	Language
pikapika	0.4	Japanese	ColorVisual	Language
bulubulu	0.4	Ewe	Motion	Language
mumu	0.4	Ewe	ColorVisual	Language
yota yota	0.4	Japanese	Motion	Language
zaa zaa	0.4	Japanese	Sound	Language
maekkŭnmaekkŭn	0.4	Korean	Texture	Language
tunggŭltunggŭl	0.4	Korean	Shape	Language
pantchakpantchak	0.4	Korean	ColorVisual	Language
songgŭlsonggŭl	0.4	Korean	ColorVisual	Language
fwɛ̃fwɛ̃	0.4	Siwu	Texture	Language
minimini	0.4	Siwu	Shape	Language
pɛ̃ɛ̃	0.4	Siwu	ColorVisual	Language
zuratto	0.4	Japanese	Shape	Language
ƒlatsaƒlatsa	0.35	Ewe	Texture	Language
klitsaklitsa	0.35	Ewe	Texture	Language
cidũʔcidẽʔ	0.35	Semai	Motion	Language
ɟrweetɟrwɒɒt	0.35	Semai	Motion	Language
craliiŋ	0.35	Semai	Texture	Language
gradus	0.35	Semai	Texture	Language
baŋʔis	0.35	Semai	Shape	Language
tɛgɛlɛɛ	0.35	Siwu	Shape	Language
garigari	0.3	Japanese	Sound	Language
takataka	0.3	Ewe	Motion	Language
kpaɖikpaɖi	0.3	Ewe	Motion	Language
pasakpasak	0.3	Korean	Texture	Language
p'arŭtp'arŭt	0.3	Korean	ColorVisual	Language
snakɨɨr	0.3	Semai	Texture	Language
ɟlpuŋ	0.3	Semai	Shape	Language
giligili	0.3	Siwu	Shape	Language
bjuukbjɛɛk	0.25	Semai	ColorVisual	Language
plɛ̃splɒ̃s	0.25	Semai	Sound	Language
kkobulkkobul	0.2	Korean	Shape	Language
dzràdzràdzrà 	0.2	Siwu	Motion	Language
daradara	0.15	Japanese	Motion	Language
kkŏkkŭlkkŏkkŭl	0.15	Korean	Texture	Language
goow	0.15	Semai	Shape	Language
plɒ̃s	0.1	Semai	Sound	Language
fututu	0.1	Siwu	ColorVisual	Language
