"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_cumulative","C_any1","C_atleast2","C_ternary","score","logodds","score_z","C_simple"
"164","bjuukbj<U+025B><U+025B>k","bright coloured. distribution in space (distributive derivation).","Semai","ColorVisual","fel gekleurd tafereel",NA,"Language","Semai_1_ColorVisual_org",1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,"F_partialredup: count as full with vowel mod or as partial?",NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.25,-0.674489750196082,-1.85314379969329,1
"165","gj<U+025B>lgjolgj<U+025B>lgjol","swinging back-and-forth. Example: movement from monkies shaking branches. Repetition of movement (iterative derivation) PLUS distribution in space (distributive derivation).","Semai","Motion","schommelen",NA,"Language","Semai_10_Motion_org",1,0,1,1,1,2,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.65,0.385320466407568,0.42503298158103,1
"166","<U+025F>rweet<U+025F>rw<U+0252><U+0252>t","upward climbing with arms and legs. Example: kids climbing. Distribution in space (distributive derivation).","Semai","Motion","omhoog klimmen",NA,"Language","Semai_11_Motion_org",1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.35,-0.385320466407568,-1.28359960437471,1
"167","<U+025F>toon<U+025F>toon<U+025F>toon","slow up-and-down. Example: of a slow bouncy gait. Repetition of movement (iterative derivation)","Semai","Motion","langzaam dartelen",NA,"Language","Semai_12_Motion_org",1,0,0,1,2,1,0,1,0,1,0,1,0,1,0,"F_finalvowel: syllable is pretty long",NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.45,-0.125661346855074,-0.714055409056131,1
"168","<U+014B><U+025B>r<U+014B>or<U+014B><U+025B>r<U+014B>or<U+014B><U+025B>r<U+014B>or","fast, jerky, in multiple directions. Example: running around looking for something, a stressed or scared behaviour. Repetition of movement (iterative derivation) PLUS distribution in space (distributive derivation).","Semai","Motion","op en neer rennend, naar iets zoekend",NA,"Language","Semai_13_Motion_org",1,0,1,1,1,2,0,1,0,1,1,1,0,1,0,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0.65,0.385320466407568,0.42503298158103,1
"169","rlaj<U+0268><U+0268>p","flickering, fluttering. Example: of leafes moving in the wind. Plurality of motion (plural prefix).","Semai","Motion","fladderen",NA,"Language","Semai_14_Motion_org",0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2533471031358,0.14026088392174,0
"170","brih<U+0254>~c","of small dents/holes on surface, e.g. scars on skin from acne (plural infix)","Semai","Texture","gedeukt aanvoelen",NA,"Language","Semai_15_Texture_org",0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"171","cr<U+0252><U+0252>::m","of coarse, coarse-grained, e.g. sand on a surface (lengthening of last/main vowel)","Semai","Texture","grofkorrelig",NA,"Language","Semai_16_Texture_org",0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.125661346855074,-0.14451121373755,0
"172","cralii<U+014B>","of an oily feeling on the skin, greasy, sweaty, very slippery  (plural infix)","Semai","Texture","glibberig",NA,"Language","Semai_17_Texture_org",0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
"173","gradus","of bumpy, bulgy, e.g. from gravel or small stones on a surface  (plural infix)","Semai","Texture","hobbelig, knobbelig",NA,"Language","Semai_18_Texture_org",0,0,0,1,2,2,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,-0.385320466407568,-1.28359960437471,0
