"rater","rating","language","category","list","study","filename","ideophone"
"N071",5,"Ewe","Shape","C","Language","ewe_32_shape","lɔbɔɔ"
"N075",1.5,"Ewe","Shape","C","Language","ewe_32_shape","lɔbɔɔ"
"N076",4.7,"Ewe","Shape","C","Language","ewe_32_shape","lɔbɔɔ"
"N009",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N014",1.1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N018",1.1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N024",1.8,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N028",2,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N030",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N035",2.1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N036",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N038",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N040",1.2,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N043",1.4,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N052",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N059",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N062",1,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N066",2,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N071",2.7,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N075",1.5,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N076",2.2,"Ewe","ColorVisual","C","Language","ewe_40_color",NA
"N009",4,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N014",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N018",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N024",4.2,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N028",4.1,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N030",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N035",4.1,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N036",4.9,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N038",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N040",4.8,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N043",4.8,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N052",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N059",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N062",3.2,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N066",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N071",5,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N075",4.7,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N076",4,"Ewe","Sound","C","Language","ewe_6_sound","gbóvúú"
"N009",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N014",3.5,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N018",1.3,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N024",4,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N028",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N030",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N035",3.2,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N036",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N038",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N040",2,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N043",2.7,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N052",1.9,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N059",2.1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N062",2,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N066",1,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N071",3,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N075",1.6,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N076",3.2,"Ewe","Texture","C","Language","ewe_15_texture","kpraɖii"
"N009",3.5,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N014",2.5,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N018",1.3,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N024",3.4,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N028",1,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N030",4,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N035",3.9,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N036",1.1,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N038",2,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N040",3.9,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N043",1.9,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N052",2,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N059",3.2,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N062",3.7,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N066",3.5,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N071",2.5,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N075",1.5,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N076",2.3,"Ewe","Motion","C","Language","ewe_24_motion","gelegele"
"N009",2.2,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N014",4.5,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N018",1.3,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N024",3,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N028",1,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N030",4,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N035",3.5,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N036",1,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N038",3,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N040",3.2,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N043",3.2,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N052",3.1,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N059",3.9,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N062",1,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N066",3,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N071",3.6,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N075",1.5,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N076",3.2,"Ewe","Shape","C","Language","ewe_33_shape","prontoe"
"N009",3.8,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N014",4.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N018",4.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N024",4.2,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N028",2,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N030",4,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N035",4,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N036",2.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N038",3.1,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N040",4.8,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N043",3.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N052",5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N059",3.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N062",4.1,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N066",2.5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N071",5,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N075",1.9,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N076",2.9,"Ewe","Motion","C","Language","ewe_25_motion","tolitoli"
"N009",4.5,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N014",4.5,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N018",4.2,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N024",2,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N028",1,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N030",4,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N035",2.4,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N036",1,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N038",2,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N040",2.8,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N043",3.1,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N052",1,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N059",3.6,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N062",2,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N066",3.5,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N071",5,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N075",3,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N076",3.7,"Korean","Sound","C","Language","korean_7_sound","chongalchongal"
"N009",3.8,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N014",3,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N018",3.7,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N024",4,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N028",3.1,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N030",5,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N035",4.2,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N036",3.6,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N038",1,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N040",3.6,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N043",4.4,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N052",4.1,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N059",5,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N062",3.9,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N066",4,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N071",3.7,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N075",1.7,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N076",3.4,"Korean","Texture","C","Language","korean_16_texture","mullŏngmullŏng"
"N009",2.6,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N014",1.9,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N018",2.1,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N024",4,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N028",2,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N030",3.5,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N035",3.6,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N036",3.6,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N038",5,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N040",2.1,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N043",3.1,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N052",4.1,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N059",3.6,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N062",3.8,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N066",4.5,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N071",5,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N075",3.1,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N076",2,"Korean","Motion","C","Language","korean_24_motion","ssingssing"
"N009",1.8,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N014",4.5,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N018",3.7,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N024",4,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N028",3,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N030",2,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N035",2.6,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N036",1.1,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N038",2.2,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N040",4.5,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N043",3.3,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N052",3,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N059",1.2,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N062",1.4,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N066",1,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N071",2.8,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N075",1.7,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N076",3.4,"Korean","Shape","C","Language","korean_34_shape","t'oshilt'oshil"
"N009",1.2,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N014",4,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N018",1.4,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N024",2,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N028",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N030",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N035",2.6,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N036",4.4,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N038",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N040",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N043",3.1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N052",3.1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N059",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N062",4,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N066",1,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N071",3.7,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N075",1.8,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N076",2,"Korean","ColorVisual","C","Language","korean_42_color",NA
"N009",4.4,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N014",2,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N018",1.1,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N024",4.1,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N028",2,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N030",2.5,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N035",2.4,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N036",4.6,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N038",1.8,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N040",4.1,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N043",3.3,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N052",3,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N059",1.5,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N062",4,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N066",1,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N071",4,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N075",4.3,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N076",3.3,"Korean","Sound","C","Language","korean_8_sound","tchŏptchŏp"
"N009",3.5,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N014",3.7,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N018",3.5,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N024",2.3,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N028",2,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N030",3.5,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N035",3.3,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N036",1.4,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N038",1,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N040",2,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N043",2.4,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N052",4.2,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N059",1.9,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N062",3.4,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N066",1.9,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N071",4.3,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N075",1.9,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N076",1.5,"Korean","Texture","C","Language","korean_17_texture","kkŭnjŏkkkŭnjŏk"
"N009",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N014",3.5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N018",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N024",3.8,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N028",3,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N030",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N035",4.3,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N036",4.1,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N038",2,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N040",4.1,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N043",2.6,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N052",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N059",3.2,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N062",3.8,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N066",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N071",5,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N075",4.1,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N076",2.7,"Korean","Motion","C","Language","korean_25_motion","p'ŏllŏkp'ŏllŏk"
"N009",3.8,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N014",4.5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N018",4.5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N024",4.3,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N028",3,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N030",5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N035",3.6,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N036",4.2,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N038",3.1,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N040",4.6,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N043",1,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N052",5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N059",5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N062",4.5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N066",3.5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N071",5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N075",4,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N076",3.5,"Korean","Shape","C","Language","korean_35_shape","ppollok"
"N009",2.6,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N014",4,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N018",2.3,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N024",1,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N028",1,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N030",2,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N035",3.2,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N036",1.3,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N038",2,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N040",1.3,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N043",2.2,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N052",2,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N059",3.9,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N062",1.7,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N066",1,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N071",2.4,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N075",1.4,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N076",2.8,"Korean","ColorVisual","C","Language","korean_43_color",NA
"N009",1,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N014",2,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N018",1.3,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N024",1,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N028",2,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N030",2,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N035",2.6,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N036",2.7,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N038",1,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N040",1.4,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N043",1.6,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N052",1,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N059",1.6,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N062",2,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N066",1.5,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N071",3.7,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N075",1.9,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N076",4,"Korean","Motion","C","Language","korean_26_motion","ch'ingch'ing"
"N009",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N014",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N018",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N024",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N028",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N030",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N035",4.7,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N036",4.4,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N038",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N040",4.9,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N043",3.7,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N052",4.1,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N059",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N062",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N066",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N071",5,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N075",4.1,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N076",4,"Semai","Sound","C","Language","semai_23_sound","bukbukbuk"
"N009",1.3,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N014",1.5,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N018",1.5,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N024",3.3,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N028",3,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N030",4,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N035",2.3,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N036",3.2,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N038",1,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N040",1,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N043",2.8,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N052",1,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N059",3.5,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N062",2.5,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N066",2,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N071",2,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N075",1,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N076",1.8,"Semai","Texture","C","Language","semai_18_texture","gradus"
"N009",2.4,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N014",1.5,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N018",1,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N024",2,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N028",1,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N030",1,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N035",3.5,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N036",1,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N038",3,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N040",1.9,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N043",2.7,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N052",1,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
"N059",3.5,"Semai","Motion","C","Language","semai_8_motion","cidũʔcidẽʔ"
