"","ideophone","meaning","language","category","meaning_NL","meaning_NL_opposite","study","filename","C_cumulative","F_redup","F_monosyllabic","F_redupmod","F_closedsyllable","F_vowelquality","F_voice","F_finallength","F_intonation","M_sound","M_distribution","M_irregular","M_weight","M_punctual","M_long","M_abrupt","F_notes_MD","M_notes_MD","F_notes_SP","M_notes_SP","C_modality","C_iterative","C_irregular","C_closure","C_punctual","C_long","C_weight_voice","C_weight_vowel","C_weight_tone","C_aspect","C_length","C_weight","C_magnitude","C_any1","C_atleast2","C_ternary","score","logodds","score_z","rating","rating_z"
"27","goroo","round+spherical","Ewe","Shape","bolvormig",NA,"Language","Ewe_34_Shape",0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.385320466407568,0.42503298158103,3.63,0.851833318986127
"28","falefale","thin+flat (e.g. leaf, piece of paper)","Ewe","Shape","dun en plat (b.v. papier)",NA,"Language","Ewe_35_Shape",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0.75,0.674489750196082,0.994577176899611,3.1,0.203404927315368
"29","fitaa/futaa","purely white","Ewe","ColorVisual","sneeuwwit (perfect wit)",NA,"Language","Ewe_36_ColorVisual",1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,1,0.65,0.385320466407568,0.42503298158103,2.37777777777778,-0.680197702843947
"30","yibɔɔ","black","Ewe","ColorVisual","pikzwart",NA,"Language","Ewe_37_ColorVisual",1,0,0,0,0,1,2,1,1,0,0,0,2,0,0,0,NA,NA,"F_vowelquality: lange <ɔɔ> heb ik als 1 klinker beschouwd",NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0.5,0,-0.429283311396841,3.16111111111111,0.278171303713463
"31","hɛ̃ɛ̃ɛ̃","focal red","Ewe","ColorVisual","knalrood",NA,"Language","Ewe_38_ColorVisual",0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA,"F_voice: h als voiced consonant in Ewe, dus mostly voiced (2).",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,-0.125661346855074,-0.714055409056131,1.4,-1.87645972521348
"32","kpííí","light greyish","Ewe","ColorVisual","lichtgrijs",NA,"Language","Ewe_39_ColorVisual",2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0.6,0.2533471031358,0.14026088392174,2.02105263157895,-1.11663301004814
"33","kpo","sound of falling","Ewe","Sound","geluid van iets vallends",NA,"Language","Ewe_3_Sound",2,0,1,0,0,2,0,0,1,1,0,0,1,1,0,1,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0.5,0,-0.429283311396841,3.88947368421053,1.16928634489842
"34","mumu","green-fresh (of young leaves)","Ewe","ColorVisual","lichtgroen van jonge bladeren",NA,"Language","Ewe_40_ColorVisual",0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,-0.2533471031358,-0.998827506715421,1.45,-1.81528723543322
"35","wãtãwãtã","spotted","Ewe","ColorVisual","gestippeld",NA,"Language","Ewe_41_ColorVisual",1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.7,0.524400512708041,0.70980507924032,2.86,-0.0902230236298819
"36","mlámlá","shiny","Ewe","ColorVisual","glanzend,  glimmend",NA,"Language","Ewe_42_ColorVisual",1,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0.7,0.524400512708041,0.70980507924032,3.455,0.637729604755216
"37","kpótókpótó","sound of small drum","Ewe","Sound","geluid van een trommeltje",NA,"Language","Ewe_4_Sound",2,1,0,0,0,2,0,0,1,1,1,0,1,0,0,0,NA,"M_distribution: translation suggests punctuality but should have been ""sound of playing a small drum""",NA,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0.9,1.2815515655446,1.84889346987748,4.33157894736842,1.71017993874494
